mmc_code,name,generic_name,mmc_type,price_low,price_high,as_of,search_category,matched_terms
387,MODIFIED RADICAL MASTECTOMY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),100,80000,"August 31, 2023",procedure,MASTECTOMY
410,MODIFIED RADICAL MASTECTOMY - SURGERY,,CLINICAL SERVICES (PROF FEE),112500,157500,"August 31, 2023",procedure,MASTECTOMY
69,MUSCLE BIOPSY - NEUROLOGICAL SCIENCES,,CLINICAL SERVICES (PROF FEE),10000,20000,"September 01, 2023",procedure,BIOPSY
344,NEONATAL INTENSIVE CARE UNIT: COMMON AREA/ISOLATION DAILY VISIT - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),2500,6000,"September 01, 2023",facility,ISOLATION;INTENSIVE CARE
316,NEWBORN CARE (CATCH) IMMINENT/STAT DELIVERY - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),15000,40000,"September 01, 2023",procedure,DELIVERY
318,NEWBORN CARE CS (PREVAILING MMC PACKAGE) - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),10000,12000,"September 01, 2023",blood_test,PACKAGE
317,NEWBORN CARE SVD (PREVAILING MMC PACKAGE) - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),9100,10000,"September 01, 2023",blood_test,PACKAGE
779,NICU/NIMCU PROCEDURES (INTUBATION) - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),7000,7000,"October 23, 2023",facility,ICU
782,NICU/NIMCU PROCEDURES (PICC) - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),10000,10000,"October 23, 2023",facility,ICU
783,NICU/NIMCU PROCEDURES (SURFACTANT THERAPY) - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),10000,10000,"October 23, 2023",facility,ICU
781,NICU/NIMCU PROCEDURES (UAC) - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),5000,5000,"October 23, 2023",facility,ICU
780,NICU/NIMCU PROCEDURES (UVC) - PEDIATRICS,,CLINICAL SERVICES (PROF FEE),5000,5000,"October 23, 2023",facility,ICU
381,OPEN APPENDECTOMY - ANESTHESIOLOGY (GENERAL SURGERY),,CLINICAL SERVICES (PROF FEE),100,52500,"September 01, 2023",procedure,APPENDECTOMY
392,OPEN APPENDECTOMY - ANESTHESIOLOGY (PEDIA SURGERY),,CLINICAL SERVICES (PROF FEE),16000,40000,"September 01, 2023",procedure,APPENDECTOMY
396,OPEN APPENDECTOMY - SURGERY (GENERAL SURGERY),,CLINICAL SERVICES (PROF FEE),75000,105000,"September 01, 2023",procedure,APPENDECTOMY
416,OPEN APPENDECTOMY - SURGERY (PEDIA SURGERY),,CLINICAL SERVICES (PROF FEE),40000,80000,"September 01, 2023",procedure,APPENDECTOMY
382,OPEN APPENDECTOMY RUPTURED - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),100,61250,"September 01, 2023",procedure,APPENDECTOMY
400,OPEN APPENDECTOMY RUPTURED - SURGERY,,CLINICAL SERVICES (PROF FEE),87500,122500,"September 01, 2023",procedure,APPENDECTOMY
379,OPEN CHOLECYSTECTOMY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),100,61250,"August 31, 2023",procedure,CHOLECYSTECTOMY
393,OPEN CHOLECYSTECTOMY - SURGERY,,CLINICAL SERVICES (PROF FEE),87500,122500,"September 01, 2023",procedure,CHOLECYSTECTOMY
300,OPEN/INCISIONAL BIOPSY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),10000,20000,"September 01, 2023",procedure,BIOPSY
227,OPEN/INCISIONAL BIOPSY - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),25000,40000,"September 01, 2023",procedure,BIOPSY
298,ORIF DISTAL RADIUS FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),24000,45000,"September 01, 2023",procedure,FRACTURE
219,ORIF DISTAL RADIUS FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),60000,90000,"September 01, 2023",procedure,FRACTURE
294,ORIF METACARPAL OR PHALANAGEAL FRACTURE PER FINGER - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),10000,20000,"September 01, 2023",procedure,FRACTURE
210,ORIF METACARPAL OR PHALANAGEAL FRACTURE PER FINGER - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),25000,40000,"September 01, 2023",procedure,FRACTURE
209,ORIF OF ACETABULUM FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),32000,80000,"September 01, 2023",procedure,FRACTURE
174,ORIF OF ACETABULUM FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),80000,160000,"September 01, 2023",procedure,FRACTURE
222,ORIF OF ANKLE FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),26400,50000,"September 01, 2023",procedure,FRACTURE
183,ORIF OF ANKLE FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),66000,100000,"September 01, 2023",procedure,FRACTURE
182,ORIF OF CLAVICLE FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),24000,47500,"September 01, 2023",procedure,FRACTURE
160,ORIF OF CLAVICLE FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),60000,95000,"September 01, 2023",procedure,FRACTURE
214,ORIF OF FEMORAL SHAFT FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),28000,47500,"September 01, 2023",procedure,FRACTURE
177,ORIF OF FEMORAL SHAFT FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),70000,95000,"September 01, 2023",procedure,FRACTURE
205,ORIF OF FOREARM FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),22000,45000,"September 01, 2023",procedure,FRACTURE
171,ORIF OF FOREARM FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),55000,90000,"September 01, 2023",procedure,FRACTURE
195,ORIF OF HUMERAL SHAFT FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),22000,45000,"September 01, 2023",procedure,FRACTURE
167,ORIF OF HUMERAL SHAFT FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),55000,90000,"September 01, 2023",procedure,FRACTURE
226,ORIF OF METATARSAL BONE FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),14000,22500,"September 01, 2023",procedure,FRACTURE
187,ORIF OF METATARSAL BONE FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),35000,45000,"September 01, 2023",procedure,FRACTURE
218,ORIF OF PATELLAR FRACTURE - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),20000,42500,"September 01, 2023",procedure,FRACTURE
179,ORIF OF PATELLAR FRACTURE - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),50000,85000,"September 01, 2023",procedure,FRACTURE
